"hei","title____0___string","title____0___lang","code","course__ects","language_of_instruction____0","description____0___multiline","description____0___lang","learning_outcomes____0___multiline","learning_outcomes____0___lang","course__academic_term____0","course__assessment_method____0___multiline","course__assessment_method____0___lang","course__bibliography____0___multiline","course__bibliography____0___lang","course__course_availability____0___multiline","course__course_availability____0___lang","course__course_content____0___multiline","course__course_content____0___lang","course__isced_code____0","course__local_classification____0___type","course__local_classification____0___value","course__prerequisite_course____0","course__prerequisites____0___multiline","course__prerequisites____0___lang","course__related_programme____0___code","course__related_programme____0___year","course__related_programme____0___mandatory","course__related_programme____1___code","course__related_programme____1___year","course__related_programme____1___mandatory","course__restricted_to_local","course__restricted_to_alliance","course__teaching_method____0___multiline","course__teaching_method____0___lang","url____0___uri","url____0___lang","course__deprecated"
"budapest.uni-foundation.eu","Basic HTML","en","HTML01",6,"en","This course introduces the fundamentals of HTML, covering the structure of web pages and basic markup elements. Students will learn how to create headings, paragraphs, lists, links, images, and forms.","en","By the end of the course, students will be able to build simple web pages using HTML and structure content effectively for web browsers.","en","1/2","Students will be assessed through practical exercises, a small project, and quizzes to evaluate their understanding of HTML structure.","en",,"en","The course is offered every semester and is open to all students with an interest in web development.","en","Topics include HTML syntax, document structure, headings, paragraphs, links, images, forms, and tables.","en","0613",,,,"No prior programming experience is required.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"The course is delivered through a combination of lectures, hands-on labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","Basic CSS","en","CSS01",6,"en","This course covers the basics of CSS, enabling students to style and layout web pages. Topics include selectors, properties, colors, fonts, and the box model.","en","Students will be able to style HTML elements, apply layouts, and control the visual presentation of web pages.","en","1/2","Assessment includes assignments, practical styling exercises, and a mini project to demonstrate CSS skills.","en","Suggested resources include 'CSS: The Missing Manual' by David Sawyer McFarland and online CSS references.","en","Available every semester, suitable for beginners in web design and development.","en","Key topics: selectors, combinators, properties, colors, typography, box model, margins, padding, and borders.","en","0613",,,,"Basic knowledge of HTML is recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Instruction combines lectures with lab exercises, where students apply CSS to real web pages.","en",,,
"budapest.uni-foundation.eu","Basic JavaScript","en","JS01",6,"en","Students are introduced to JavaScript programming for dynamic web content, covering variables, functions, events, and DOM manipulation.","en","Students will be able to write basic scripts to enhance web pages with interactivity and dynamic content.","en","1/2","Evaluation is through coding exercises, small projects, and quizzes that test understanding of JavaScript fundamentals.","en","Resources: 'Eloquent JavaScript' by Marijn Haverbeke and MDN Web Docs for JavaScript reference.","en","Offered every semester, suitable for beginners with HTML and CSS knowledge.","en","Topics include syntax, variables, operators, functions, conditionals, loops, events, and basic DOM manipulation.","en","0613",,,,"Requires familiarity with HTML and basic CSS concepts.","en","FRONTEND","1/3","1","BACKEND","2/3","1","0",0,"Delivered via interactive lectures, coding exercises, and guided projects in a lab environment.","en",,,
"budapest.uni-foundation.eu","Dev Tools I","en","TOOLS01",6,"en","This course introduces essential development tools including version control, build automation, and debugging techniques.","en","Students will gain practical experience in using Git, command-line tools, and debugging methods to support software development workflows.","en","1/2","Assessment is based on exercises, practical tasks using development tools, and short quizzes.","en","References include Git documentation, online tutorials, and tool-specific guides.","en","Offered every semester to students enrolled in frontend and backend programs.","en","Topics: Git basics, branching, merging, build automation with npm or other tools, debugging techniques.","en","0611",,,,"No prerequisites. Hands-on exercises are included in the teaching.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"The course uses lectures combined with lab sessions and guided practice.","en",,,
"budapest.uni-foundation.eu","Web Servers","en","SRV01",6,"en","This course covers the fundamentals of web server operation, configuration, and deployment, including handling requests and serving content efficiently.","en","Students will understand server-client interactions, HTTP basics, and how to deploy web applications.","en","1/2","Assessment includes server setup assignments, configuration exercises, and quizzes.","en","Suggested readings: 'HTTP: The Definitive Guide' and online web server tutorials.","en","Available every semester for students studying web development.","en","Topics include HTTP protocol, server configuration, hosting static and dynamic content, and basic security measures.","en","0612",,,,"Prior knowledge of HTML and basic networking recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Course delivery combines lectures, hands-on server configuration labs, and exercises.","en",,,
"budapest.uni-foundation.eu","Advanced HTML","en","HTML02",6,"en","This course builds on basic HTML skills, introducing advanced elements, semantic markup, accessibility, and best practices in web development.","en","Students will be able to create semantically structured web pages that are accessible and follow web standards.","en","2/2","Evaluation is through practical projects, code reviews, and quizzes to assess understanding of advanced HTML techniques.","en","Resources include online standards guides and advanced HTML tutorials.","en","Offered every semester to students who completed Basic HTML.","en","Topics include semantic HTML, forms, multimedia elements, accessibility features, and SEO basics.","en","0613",,,,"Completion of Basic HTML is recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"The course is delivered through lectures, demonstrations, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","Advanced CSS","en","CSS02",6,"en","An in-depth CSS course covering layout techniques, responsive design, animations, and modern CSS features.","en","Students will be able to implement advanced styling, responsive layouts, and dynamic visual effects on web pages.","en","2/2","Assessment includes practical exercises, projects, and code reviews focused on advanced CSS techniques.","en","Recommended resources: 'CSS Secrets' by Lea Verou and online responsive design guides.","en","Available every semester for students with basic CSS knowledge.","en","Topics: Flexbox, Grid, media queries, animations, transitions, pseudo-classes, and pseudo-elements.","en","0613",,,,"Completion of Basic CSS is recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Delivered through lectures, hands-on exercises, and project work.","en",,,
"budapest.uni-foundation.eu","Intermediate JavaScript","en","JS02",6,"en","This course expands on basic JavaScript, covering intermediate topics such as object-oriented programming, asynchronous operations, and event handling.","en","Students will be able to write modular JavaScript code, handle asynchronous tasks, and implement interactive features.","en","2/2","Assessment through coding assignments, mini projects, and quizzes focusing on intermediate JavaScript concepts.","en","References include 'You Don’t Know JS' series and MDN Web Docs.","en","Offered every semester to students who completed Basic JavaScript.","en","Topics: objects, classes, inheritance, asynchronous programming, event handling, and DOM manipulation.","en","0613",,,,"Completion of Basic JavaScript is recommended.","en","FRONTEND","1/3","1",,,,"0",0,"Course includes lectures, coding labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","Dev Tools II","en","TOOLS02",6,"en","This course covers advanced development tools including version control strategies, automated builds, and testing frameworks.","en","Students will be able to manage complex projects using Git workflows, continuous integration, and debugging techniques.","en","2/2","Evaluation through practical exercises, automated build setup, and version control tasks.","en","References: Git advanced guides, CI/CD tutorials, and development tool documentation.","en","Offered each semester for students in frontend and backend tracks.","en","Topics: branching strategies, merge conflicts, automated testing tools, build pipelines, and debugging.","en","0611",,,,"Completion of Dev Tools I recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Delivered via lectures, hands-on labs, and guided projects.","en",,,
"budapest.uni-foundation.eu","Basic jQuery","en","JQRY01",6,"en","This course introduces jQuery for simplifying JavaScript DOM manipulation, event handling, and AJAX interactions.","en","Students will be able to write efficient jQuery code to manipulate web page elements and handle asynchronous events.","en","2/2","Assessment through coding exercises, mini-projects, and quizzes on jQuery fundamentals.","en","Suggested readings: jQuery official documentation and online tutorials.","en","Available each semester for students with basic JavaScript knowledge.","en","Topics: selectors, events, DOM traversal, effects, animations, and AJAX.","en","0613",,,,"Completion of Basic JavaScript recommended.","en","FRONTEND","1/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and guided labs.","en",,,
"budapest.uni-foundation.eu","Advanced JavaScript I","en","JS03",6,"en","This course covers advanced JavaScript concepts including closures, modules, and asynchronous programming.","en","Students will be able to implement advanced JS features, write modular code, and handle asynchronous tasks efficiently.","en","1/2","Assessment includes coding assignments, projects, and quizzes on advanced JavaScript concepts.","en","References: 'You Don’t Know JS' series and online tutorials.","en","Offered every semester to students who completed Intermediate JavaScript.","en","Topics: closures, modules, promises, callbacks, async/await, and DOM manipulation.","en","0613",,,,"Intermediate JavaScript recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Lectures, hands-on labs, and project work are used for teaching.","en",,,
"budapest.uni-foundation.eu","Advanced jQuery","en","JQRY02",6,"en","This course delves into advanced jQuery techniques including plugin creation, advanced events, and performance optimization.","en","Students will be able to write efficient, maintainable jQuery code and create custom plugins.","en","1/2","Evaluation includes coding exercises, mini-projects, and quizzes.","en","Suggested resources: jQuery documentation and plugin development guides.","en","Available every semester for students who completed Basic jQuery.","en","Topics: advanced selectors, events, plugins, AJAX, and performance best practices.","en","0613",,,,"Basic jQuery knowledge recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Delivered through lectures, coding exercises, and guided labs.","en",,,
"budapest.uni-foundation.eu","Node.js and NPM","en","NODE01",6,"en","Introduction to Node.js runtime and NPM package management. Students learn to build server-side applications and manage dependencies.","en","Students will be able to develop basic server-side applications and manage project dependencies using NPM.","en","1/2","Assessment based on practical coding exercises, mini projects, and quizzes.","en","References include Node.js official documentation and online tutorials.","en","Offered each semester for students in frontend development.","en","Topics: Node.js basics, modules, NPM, project structure, and simple server creation.","en","0613",,,,"Intermediate JavaScript recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Course delivered via lectures and hands-on coding labs.","en",,,
"budapest.uni-foundation.eu","CSS Frameworks","en","CSSFW01",6,"en","This course introduces popular CSS frameworks such as Bootstrap and Tailwind, covering responsive design and prebuilt components.","en","Students will be able to implement responsive web pages using CSS frameworks and customize components effectively.","en","1/2","Assessment includes assignments building pages with frameworks and quizzes.","en","Suggested resources: official Bootstrap and Tailwind documentation, online tutorials.","en","Available every semester for students with CSS knowledge.","en","Topics: grid systems, components, utilities, responsive design, and customization.","en","0613",,,,"Completion of Basic CSS recommended.","en","FRONTEND","2/3","1","BACKEND","2/3","1","0",0,"Delivered through lectures and practical exercises using frameworks.","en",,,
"budapest.uni-foundation.eu","UI Design Principles","en","DESIGN01",6,"en","This course introduces UI design fundamentals, including usability, visual hierarchy, and interaction design principles.","en","Students will be able to design user interfaces that are intuitive, accessible, and visually appealing.","en","1/2","Evaluation includes design exercises, peer reviews, and a mini project.","en","Resources include design books, online tutorials, and usability guidelines.","en","Offered each semester, suitable for frontend students.","en","Topics: color theory, typography, layout, accessibility, wireframing, and prototyping.","en","0613",,,,"No prerequisites.","en","FRONTEND","2/3","1",,,,"0",0,"Course delivered via lectures, design exercises, and projects.","en",,,
"budapest.uni-foundation.eu","Advanced JavaScript II","en","JS04",6,"en","Advanced topics in JavaScript including functional programming, modules, and asynchronous patterns.","en","Students will be able to write efficient, modular, and maintainable JavaScript code for complex applications.","en","2/2","Assessment based on coding exercises, projects, and quizzes on advanced JS techniques.","en","References: 'You Don’t Know JS' and online tutorials.","en","Offered every semester for students who completed Advanced JavaScript I.","en","Topics: functional programming, ES6 modules, async patterns, event loops, and promises.","en","0613",,,,"Completion of Advanced JavaScript I recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Delivered via lectures, coding labs, and project work.","en",,,
"budapest.uni-foundation.eu","Node.js applications","en","NODE02",6,"en","This course focuses on building practical applications with Node.js including APIs and server-side logic.","en","Students will be able to develop Node.js applications with routing, APIs, and basic database integration.","en","2/2","Assessment includes project development, exercises, and quizzes.","en","References: Node.js documentation, online tutorials, and sample projects.","en","Offered each semester for frontend students.","en","Topics: server-side logic, Express.js, routing, API development, and basic databases.","en","0613",,,,"Node.js and NPM knowledge recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Delivered via lectures, coding labs, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","Build tools","en","BUILD01",6,"en","Covers modern build tools including task runners, bundlers, and package management systems.","en","Students will be able to set up build pipelines, automate tasks, and manage project dependencies.","en","2/2","Assessment through setup exercises, coding tasks, and quizzes.","en","References: Webpack, Gulp, NPM documentation, online tutorials.","en","Available every semester for students with development tool experience.","en","Topics: Webpack, Gulp, task automation, bundling, and dependency management.","en","0613",,,,"Completion of Dev Tools I recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Delivered via lectures and hands-on exercises.","en",,,
"budapest.uni-foundation.eu","Docker","en","DOCKER",6,"en","Introduction to containerization with Docker, including images, containers, and deployment practices.","en","Students will be able to build, manage, and deploy Docker containers for applications.","en","2/2","Assessment includes practical containerization exercises and quizzes.","en","Resources: Docker documentation, online tutorials, and container best practices.","en","Offered every semester for frontend students.","en","Topics: Docker installation, images, containers, Dockerfile, and basic orchestration.","en","0613",,,,"Completion of Dev Tools II recommended.","en","FRONTEND","2/3","1","BACKEND","2/3","1","0",0,"Delivered through lectures and practical container exercises.","en",,,
"budapest.uni-foundation.eu","Design Software","en","DESIGN02",6,"en","This course covers software tools for design, including vector graphics, prototyping, and UI software.","en","Students will be able to create digital designs, wireframes, and prototypes using industry-standard software.","en","2/2","Assessment based on exercises, design projects, and quizzes.","en","References: Official software tutorials and design guides.","en","Available each semester, suitable for students with basic design knowledge.","en","Topics: vector graphics, prototyping, UI software, and digital design workflows.","en","0611",,,,"UI Design Principles recommended.","en","FRONTEND","2/3","1",,,,"0",0,"Delivered via lectures, hands-on labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","REST APIs","en","API01",6,"en","Introduction to RESTful APIs, HTTP methods, and best practices for web service design.","en","Students will be able to design, implement, and test RESTful APIs effectively.","en","1/2","Assessment includes exercises on API design, implementation, and quizzes.","en","References: REST API tutorials, online documentation, and best practice guides.","en","Offered every semester for frontend students.","en","Topics: HTTP methods, endpoints, JSON, CRUD operations, and API testing.","en","0612",,,,"Basic JavaScript and Web Servers recommended.","en","FRONTEND","2/3","1","BACKEND","2/3","1","0",0,"Delivered through lectures, coding exercises, and guided labs.","en",,,
"budapest.uni-foundation.eu","React","en","REACT01",6,"en","Introduction to React.js, covering components, state, props, and the component lifecycle.","en","Students will be able to build interactive, component-based web applications using React.","en","1/2","Assessment includes coding exercises, mini-projects, and quizzes on React fundamentals.","en","References: React documentation, online tutorials, and example projects.","en","Offered every semester for frontend students.","en","Topics: JSX, components, state, props, and lifecycle methods.","en","0613",,,,"Basic JavaScript and HTML/CSS recommended.","en","FRONTEND","3/3","1",,,,"0",0,"Course delivered via lectures, coding labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","Databases (NoSQL)","en","DOCDB01",6,"en","This course introduces NoSQL databases including document, key-value, and column stores, and their applications.","en","Students will understand NoSQL concepts and be able to design and query NoSQL databases.","en","1/2","Assessment through exercises, database design tasks, and quizzes.","en","References: MongoDB documentation, NoSQL tutorials, and online guides.","en","Available every semester for frontend students.","en","Topics: MongoDB, document databases, key-value stores, and basic querying.","en","0612",,,,"Basic JavaScript recommended.","en","FRONTEND","3/3","1","BACKEND","3/3","1","0",0,"Delivered via lectures and hands-on database labs.","en",,,
"budapest.uni-foundation.eu","Testing","en","TEST01",6,"en","Introduction to software testing, covering unit tests, integration tests, and testing frameworks.","en","Students will be able to write and execute tests to ensure software quality and reliability.","en","1/2","Assessment includes writing test cases, exercises, and quizzes.","en","References: Testing documentation, Jest tutorials, and online guides.","en","Offered each semester for frontend students.","en","Topics: unit testing, integration testing, test-driven development, and testing tools.","en","0613",,,,"Basic JavaScript knowledge recommended.","en","FRONTEND","3/3","1","BACKEND","3/3","1","0",0,"Delivered through lectures, coding exercises, and hands-on labs.","en",,,
"budapest.uni-foundation.eu","Topics in HTTP","en","HTTP01",6,"en","Covers HTTP protocol fundamentals, request/response mechanisms, headers, and status codes.","en","Students will be able to understand and work with HTTP for web development and APIs.","en","1/2","Assessment includes exercises, quizzes, and practical tasks on HTTP.","en","References: HTTP: The Definitive Guide and online tutorials.","en","Offered every semester.","en","Topics: HTTP methods, status codes, headers, requests, responses, and cookies.","en","0612",,,,"Basic web development knowledge recommended.","en","FRONTEND","3/3","1","BACKEND","3/3","1","0",0,"Delivered via lectures and practical exercises.","en",,,
"budapest.uni-foundation.eu","GraphQL","en","GRAPH",6,"en","Introduction to GraphQL, its query language, and integrating with backend services.","en","Students will be able to design and consume GraphQL APIs and understand schema and resolver design.","en","2/2","Assessment through exercises, projects, and quizzes on GraphQL concepts.","en","References: GraphQL official documentation and tutorials.","en","Offered each semester.","en","Topics: queries, mutations, subscriptions, schema design, and resolvers.","en","0612",,,,"REST APIs knowledge recommended.","en","FRONTEND","3/3","1",,,,"0",0,"Delivered via lectures, coding labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","React Hooks","en","REACT02",6,"en","Advanced React concepts covering Hooks, state management, and performance optimization.","en","Students will be able to use Hooks effectively and optimize React applications for performance.","en","2/2","Assessment includes coding exercises, projects, and quizzes on React Hooks.","en","References: React documentation and online tutorials on Hooks and advanced patterns.","en","Offered every semester for frontend students.","en","Topics: useState, useEffect, custom hooks, and optimization techniques.","en","0613",,,,"React fundamentals recommended.","en","FRONTEND","3/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","PWAs","en","PWA",6,"en","Introduction to Progressive Web Apps, covering offline capabilities, service workers, and caching strategies.","en","Students will be able to develop PWAs that work offline and provide app-like experiences.","en","2/2","Assessment includes building mini-PWA projects and quizzes.","en","References: PWA documentation, online tutorials, and examples.","en","Available every semester for frontend students.","en","Topics: service workers, caching, manifest files, offline capabilities, and notifications.","en","0613",,,,"Advanced JavaScript and React recommended.","en","FRONTEND","3/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and project work.","en",,,
"budapest.uni-foundation.eu","Automated testing","en","TEST02",6,"en","Covers automated testing tools and techniques for frontend applications, including test runners and assertion libraries.","en","Students will be able to write automated tests for web applications and integrate them into development workflows.","en","2/2","Assessment based on automated test implementation, exercises, and quizzes.","en","References: Jest, Cypress, and online automated testing tutorials.","en","Offered every semester for frontend students.","en","Topics: unit testing, integration testing, end-to-end testing, test runners, and frameworks.","en","0613",,,,"Basic JavaScript and Testing fundamentals recommended.","en","FRONTEND","3/3","1","BACKEND","3/3","1","0",0,"Delivered via lectures, coding exercises, and guided projects.","en",,,
"budapest.uni-foundation.eu","Deployment","en","SRV02",6,"en","Introduction to deployment techniques for web applications, including server setup, CI/CD, and hosting.","en","Students will be able to deploy frontend and backend applications to production environments.","en","2/2","Assessment includes practical deployment exercises, project work, and quizzes.","en","References: Online deployment tutorials, hosting documentation, and CI/CD guides.","en","Available every semester for frontend students.","en","Topics: deployment strategies, continuous integration, continuous deployment, and server configuration.","en","0612",,,,"Web Servers and Dev Tools II recommended.","en","FRONTEND","3/3","1","BACKEND","3/3","1","0",0,"Delivered via lectures, coding labs, and project exercises.","en",,,
"budapest.uni-foundation.eu","Basic PHP","en","PHP01",6,"en","Introduction to PHP programming, including syntax, variables, functions, and control structures.","en","Students will be able to write basic PHP scripts, manipulate data, and understand server-side programming concepts.","en","1/2","Assessment through coding exercises, mini-projects, and quizzes on PHP fundamentals.","en","References: Official PHP documentation and online tutorials.","en","Offered each semester for backend students.","en","Topics: PHP syntax, variables, functions, loops, conditionals, and basic form handling.","en","0613",,,,"Basic HTML knowledge recommended.","en","BACKEND","1/3","1",,,,"0",0,"Delivered via lectures and hands-on coding labs.","en",,,
"budapest.uni-foundation.eu","Intermediate PHP","en","PHP02",6,"en","Covers intermediate PHP topics such as object-oriented programming, sessions, cookies, and form handling.","en","Students will be able to develop dynamic web applications with PHP, manage sessions, and use OOP concepts.","en","2/2","Assessment through coding projects, exercises, and quizzes on PHP.","en","References: PHP official documentation and online tutorials.","en","Offered every semester for backend students.","en","Topics: OOP, sessions, cookies, form handling, and data validation in PHP.","en","0613",,,,"Completion of Basic PHP recommended.","en","BACKEND","1/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","SQL Databases I","en","SQL01",6,"en","Introduction to SQL databases, covering basic queries, data manipulation, and relational database concepts.","en","Students will be able to write SQL queries, create tables, and manipulate relational data.","en","2/2","Assessment includes exercises, practical tasks, and quizzes on SQL fundamentals.","en","References: SQL tutorials, online guides, and database textbooks.","en","Available each semester for backend students.","en","Topics: SELECT, INSERT, UPDATE, DELETE, table creation, and basic joins.","en","0612",,,,"Basic PHP knowledge recommended.","en","BACKEND","1/3","1",,,,"0",0,"Delivered via lectures, hands-on labs, and exercises.","en",,,
"budapest.uni-foundation.eu","Advanced PHP I","en","PHP03",6,"en","Advanced PHP topics including OOP, security, and database integration.","en","Students will be able to develop secure, object-oriented PHP applications and integrate with databases.","en","1/2","Assessment through projects, coding exercises, and quizzes.","en","References: PHP manual, online tutorials, and security guidelines.","en","Offered every semester for backend students.","en","Topics: advanced OOP, PDO, security, sessions, and database integration.","en","0613",,,,"Intermediate PHP recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, coding labs, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","SQL Databases II","en","SQL02",6,"en","Advanced SQL topics including joins, subqueries, indexing, and transaction management.","en","Students will be able to design complex queries, optimize database performance, and manage transactions.","en","1/2","Assessment includes exercises, projects, and quizzes on advanced SQL.","en","References: SQL tutorials, database textbooks, and online guides.","en","Available each semester for backend students.","en","Topics: complex joins, subqueries, indexing, transactions, and database optimization.","en","0612",,,,"SQL Databases I recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, practical exercises, and guided labs.","en",,,
"budapest.uni-foundation.eu","Dependency Management","en","COMP01",6,"en","Introduction to dependency management in software projects, including package managers and version control integration.","en","Students will be able to manage project dependencies, use package managers, and maintain consistent development environments.","en","1/2","Assessment through exercises, practical tasks, and quizzes on dependency management.","en","References: Composer, NPM documentation, and online guides.","en","Offered every semester for backend students.","en","Topics: Composer, NPM, package versioning, and dependency resolution.","en","0613",,,,"Intermediate PHP and SQL knowledge recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, coding labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","Advanced PHP II","en","PHP04",6,"en","Covers advanced PHP programming including design patterns, security, and performance optimization.","en","Students will be able to implement secure, efficient, and maintainable PHP applications using advanced techniques.","en","2/2","Assessment includes coding projects, exercises, and quizzes on advanced PHP topics.","en","References: PHP documentation, design patterns books, and online tutorials.","en","Offered each semester for backend students.","en","Topics: design patterns, security, performance optimization, and advanced PHP techniques.","en","0613",,,,"Advanced PHP I recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, coding labs, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","PHP Frameworks","en","PHPFW01",6,"en","Introduction to popular PHP frameworks like Laravel and Symfony, including MVC architecture and routing.","en","Students will be able to develop web applications using PHP frameworks, implement MVC patterns, and manage routes and controllers.","en","2/2","Assessment through framework projects, exercises, and quizzes.","en","References: Laravel and Symfony documentation, online tutorials, and example projects.","en","Available each semester for backend students.","en","Topics: MVC, routing, controllers, models, views, and framework setup.","en","0613",,,,"Advanced PHP knowledge recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, coding labs, and hands-on framework projects.","en",,,
"budapest.uni-foundation.eu","Application architecture","en","ARCH01",6,"en","Covers principles of software architecture, including layered architecture, MVC, and service-oriented design.","en","Students will be able to design and implement web applications following architectural best practices.","en","2/2","Assessment includes design exercises, projects, and quizzes on architecture concepts.","en","References: Software architecture books and online resources.","en","Offered each semester for backend students.","en","Topics: layered architecture, MVC, service-oriented architecture, and best practices.","en","0613",,,,"Advanced PHP and SQL recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, guided exercises, and projects.","en",,,
"budapest.uni-foundation.eu","Templating languages","en","TPL01",6,"en","Covers templating languages such as Twig and Blade, including template inheritance and reusable components.","en","Students will be able to create dynamic web pages using templating languages and implement reusable components.","en","2/2","Assessment through exercises, projects, and quizzes on templating techniques.","en","References: Twig and Blade documentation, online tutorials, and examples.","en","Available each semester for backend students.","en","Topics: template syntax, inheritance, components, and dynamic content rendering.","en","0613",,,,"Intermediate PHP knowledge recommended.","en","BACKEND","2/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and project-based learning.","en",,,
"budapest.uni-foundation.eu","CMS I","en","CMS01",6,"en","Introduction to content management systems (CMS), including setup, content creation, and administration.","en","Students will be able to set up and manage content within a CMS, understanding backend integration and templates.","en","1/2","Assessment includes CMS exercises, projects, and quizzes.","en","References: CMS official documentation and tutorials.","en","Available every semester for backend students.","en","Topics: CMS setup, content creation, templates, user management, and administration.","en","0613",,,,"Basic PHP knowledge recommended.","en","BACKEND","3/3","1",,,,"0",0,"Delivered via lectures and hands-on labs using CMS platforms.","en",,,
"budapest.uni-foundation.eu","JSON:API","en","API02",6,"en","Introduction to the JSON:API specification for building APIs, including request/response formats and conventions.","en","Students will be able to build APIs following the JSON:API specification and integrate them with web applications.","en","2/2","Assessment through exercises, projects, and quizzes on API implementation.","en","References: JSON:API official documentation, tutorials, and examples.","en","Offered each semester for backend students.","en","Topics: JSON:API structure, endpoints, relationships, and conventions.","en","0612",,,,"REST API knowledge recommended.","en","BACKEND","3/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","CMS II","en","CMS02",6,"en","Advanced CMS topics including plugin development, theme customization, and performance optimization.","en","Students will be able to extend CMS functionality, customize themes, and optimize CMS performance.","en","2/2","Assessment includes CMS projects, coding exercises, and quizzes on advanced CMS concepts.","en","References: CMS documentation, plugin guides, and online tutorials.","en","Available each semester for backend students.","en","Topics: plugin development, theme customization, CMS optimization, and security.","en","0613",,,,"CMS I recommended.","en","BACKEND","3/3","1",,,,"0",0,"Delivered via lectures, labs, and guided CMS projects.","en",,,
"budapest.uni-foundation.eu","Optimization","en","CACHE",6,"en","Covers web application performance optimization, caching strategies, and resource management.","en","Students will be able to optimize web applications for performance, implement caching, and manage resources efficiently.","en","2/2","Assessment includes exercises, optimization projects, and quizzes.","en","References: online guides, performance testing tools, and tutorials.","en","Offered each semester for backend students.","en","Topics: caching, code optimization, resource management, and performance measurement.","en","0613",,,,"Advanced PHP and database knowledge recommended.","en","BACKEND","3/3","1",,,,"0",0,"Delivered via lectures, labs, and hands-on projects.","en",,,
